Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSH,PSD,PSA,PSCH,PSCD,PSCA,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
0,12/07/2020,6,18,4,1,0,1,0,S Attwell,10,13,4,5,11,12,2,6,2,1,0,1,5.25,3.8,1.66,5.0,4.0,1.67,,,,4.95,3.8,1.7,,,,,,,5.25,3.7,1.7,,,,5.25,3.75,1.7,,,,,,,,,,,,,,,,,,,,,,5.24,3.83,1.72,4.52,3.9,1.81,19:00,5.6,4.0,1.75,5.14,3.82,1.7,1.9,1.9,1.94,1.97,1.98,2.01,1.89,1.92,0.75,1.96,1.94,1.99,1.94,2.0,1.97,1.96,1.91,5.0,3.8,1.7,4.6,3.8,1.75,5.0,3.8,1.7,4.8,3.7,1.75,5.0,3.8,1.73,5.25,4.0,1.85,4.87,3.8,1.75,2.0,1.8,2.0,1.92,2.06,1.93,1.99,1.84,0.75,1.9,2.0,1.88,2.05,1.96,2.06,1.9,1.98
0,11/12/16,31,23,1,0,0,0,1,S Attwell,14,6,3,2,14,12,4,2,4,3,0,0,1.7,3.7,6.0,1.65,3.7,5.75,,,,1.7,3.7,5.0,1.67,3.75,6.0,,,,1.73,3.4,6.0,,,,1.7,3.6,6.25,,,,48.0,1.76,1.69,3.8,3.61,6.42,5.83,45.0,2.4,2.3,1.7,1.61,26.0,-1.0,2.35,2.25,1.7,1.67,1.68,3.68,6.42,1.63,3.76,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,02/02/11,5,40,1,0,0,0,1,P Walton,13,11,8,5,16,8,8,3,1,3,0,0,1.83,3.5,4.5,1.85,3.4,4.1,1.8,3.4,4.33,1.8,3.4,4.0,1.8,3.5,4.5,1.8,3.4,4.0,1.83,3.6,4.2,1.83,3.6,4.5,1.85,3.5,4.75,1.83,3.4,4.2,34.0,1.9,1.83,3.6,3.44,4.89,4.4,33.0,2.03,1.93,1.91,1.84,20.0,-0.5,1.9,1.85,2.07,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28/12/10,38,13,1,1,1,1,1,H Webb,11,13,2,5,12,15,4,7,1,0,0,0,3.4,3.2,2.25,3.3,3.1,2.2,3.1,3.25,2.25,2.7,3.2,2.4,3.0,3.3,2.3,3.0,3.2,2.2,3.2,3.2,2.25,3.25,3.3,2.3,3.5,3.3,2.25,2.88,3.3,2.3,37.0,3.75,3.39,3.4,3.28,2.3,2.18,35.0,2.21,2.08,1.79,1.72,28.0,0.0,2.61,2.39,1.62,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27/09/14,33,34,0,0,0,0,1,C Foy,15,7,3,1,13,15,10,1,2,1,0,1,2.9,3.3,2.63,2.8,3.2,2.7,,,,2.6,3.1,2.7,2.6,3.25,2.75,,,,2.7,3.1,2.7,,,,3.0,3.1,2.7,,,,47.0,3.0,2.79,3.3,3.21,2.77,2.62,45.0,2.28,2.15,1.76,1.69,28.0,0.0,2.09,2.01,1.92,1.85,2.96,3.23,2.69,2.88,3.36,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28/09/2019,35,31,2,1,2,1,2,G Scott,9,14,4,6,5,16,6,6,0,2,1,0,1.4,4.75,8.0,1.42,4.6,7.5,,,,1.45,4.7,6.7,,,,,,,1.42,4.5,8.0,,,,1.44,4.75,7.5,,,,,,,,,,,,,,,,,,,,,,1.44,4.69,8.18,1.38,5.23,8.73,15:00,1.49,4.8,8.18,1.44,4.67,7.61,1.57,2.37,1.63,2.42,1.64,2.42,1.61,2.35,-1.25,2.02,1.91,2.02,1.9,2.03,1.95,1.98,1.9,1.36,5.25,7.5,1.4,5.0,7.5,1.47,4.3,7.0,1.38,4.8,8.5,1.36,5.25,9.0,1.47,5.4,10.25,1.39,5.07,8.29,1.53,2.5,1.6,2.48,1.6,2.58,1.56,2.45,-1.25,1.8,2.14,1.82,2.11,1.87,2.25,1.81,2.09
0,2009-09-19,38,19,2,3,2,2,1,A Marriner,8,19,5,15,13,17,4,4,3,3,0,0,6.5,4.0,1.53,6.25,3.95,1.45,6.0,4.0,1.5,6.0,3.7,1.55,6.0,3.75,1.57,6.0,3.75,1.5,6.5,3.8,1.53,6.5,4.0,1.53,6.5,3.6,1.53,6.0,3.75,1.57,39.0,6.76,6.32,4.16,3.8,1.59,1.54,32.0,2.01,1.88,1.95,1.87,22.0,0.0,5.05,4.57,1.2,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15/05/16,34,21,1,1,1,1,1,M Dean,4,18,1,5,4,19,4,4,1,3,0,0,6.0,4.75,1.53,5.75,4.5,1.48,,,,7.0,4.0,1.45,6.5,4.33,1.53,,,,5.5,4.33,1.53,,,,5.2,4.75,1.53,,,,50.0,7.0,6.04,4.8,4.5,1.59,1.51,36.0,1.58,1.53,2.6,2.45,31.0,1.0,2.14,2.05,1.85,1.81,6.46,4.79,1.52,7.05,5.0,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,23/11/13,24,25,2,1,2,0,2,M Dean,21,10,5,2,8,7,6,5,0,1,0,0,1.8,3.8,4.75,1.72,3.7,4.75,,,,1.75,3.5,4.5,1.75,3.75,4.5,,,,1.83,3.2,5.0,1.73,3.8,4.8,1.8,3.7,5.0,,,,37.0,1.81,1.77,3.85,3.63,5.0,4.6,35.0,1.83,1.77,2.12,2.03,20.0,-1.0,2.54,2.43,1.63,1.58,1.81,3.84,4.85,1.79,3.85,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15/05/11,2,14,0,2,0,1,0,P Walton,7,18,2,9,7,15,5,5,0,5,0,0,2.2,3.25,3.4,2.15,3.2,3.3,2.1,3.25,3.4,1.9,3.4,3.6,2.2,3.3,3.3,2.0,3.25,3.4,2.3,3.1,3.3,2.2,3.25,3.3,2.25,3.3,3.6,2.1,3.3,3.4,39.0,2.31,2.19,3.37,3.26,3.75,3.4,32.0,2.35,2.21,1.68,1.63,22.0,-0.25,1.98,1.92,2.05,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
